Region,Destination_Name,Destination_Type,Total_Days,Total_Persons,Budget_Per_Person
West,Somnath,Wildlife,13,11,9172
North,Leh,Adventure,9,4,35471
South,Pondicherry,Religious,10,4,13314
West,Mumbai,Beach,10,5,8082
Central,Kanha National Park,Wildlife,9,3,43266
Central,Pachmarhi,Hill Station,2,11,27715
South,Munnar,Religious,15,1,34611
North,Leh,Religious,9,9,45519
West,Jaisalmer,Desert,14,12,16351
South,Alleppey,Wildlife,4,7,10328
South,Coorg,Desert,11,8,9833
Central,Bandhavgarh,Hill Station,6,4,39461
North,Kullu,Religious,10,6,9258
East,Darjeeling,Hill Station,2,12,54960
East,Guwahati,Trekking,7,2,16415
East,Kolkata,Trekking,3,3,13726
North,Rishikesh,Urban/City,5,3,7241
Central,Bhopal,Urban/City,2,7,36790
South,Kodaikanal,Hill Station,9,7,55606
West,Mount Abu,Hidden Gem,15,4,24121
Northeast,Cherrapunji,Adventure,14,4,44768
North,Jaipur,Historical,3,1,31676
Northeast,Aizawl,Trekking,11,2,43678
Central,Kanha National Park,Desert,11,4,28030
West,Rann of Kutch,Wildlife,8,2,7083
Northeast,Cherrapunji,Hidden Gem,3,5,31093
West,Dwarka,Religious,5,8,12494
Central,Gwalior,Wildlife,14,1,26682
South,Coorg,Urban/City,9,4,52031
Northeast,Imphal,Trekking,13,6,16068
East,Guwahati,Historical,11,5,59608
Central,Sanchi,Religious,10,12,47963
Central,Pachmarhi,Religious,10,3,10137
Central,Bandhavgarh,Urban/City,9,9,8857
Northeast,Cherrapunji,Historical,3,9,52070
Central,Pachmarhi,Adventure,11,7,47094
South,Pondicherry,Hidden Gem,2,8,52632
West,Ahmedabad,Beach,11,6,29100
Northeast,Imphal,Trekking,10,7,58277
Central,Indore,Trekking,10,10,43012
Central,Sanchi,Hill Station,14,2,40180
North,Rishikesh,Wildlife,9,6,27528
Central,Kanha National Park,Desert,13,12,3375
Northeast,Aizawl,Beach,6,3,41733
East,Sundarbans,Adventure,11,3,48778
Northeast,Aizawl,Beach,9,10,22416
South,Hampi,Trekking,13,8,33452
North,Nainital,Religious,12,6,40324
East,Gangtok,Urban/City,8,7,58697
North,Nainital,Historical,11,2,36462
East,Guwahati,Religious,15,7,4950
West,Udaipur,Hill Station,4,9,6233
West,Ahmedabad,Religious,6,8,44112
Northeast,Imphal,Hill Station,10,3,32356
West,Gir National Park,Historical,11,12,45114
West,Somnath,Desert,2,12,10194
Central,Bhopal,Beach,8,8,36851
East,Guwahati,Historical,10,6,34110
South,Munnar,Trekking,9,5,40225
Central,Gwalior,Desert,10,6,35787
North,Shimla,Urban/City,4,8,49014
East,Darjeeling,Desert,5,5,41028
South,Munnar,Trekking,13,3,26842
East,Bodh Gaya,Wildlife,11,5,39424
South,Kochi,Beach,11,9,58472
West,Udaipur,Desert,14,5,27881
Northeast,Imphal,Trekking,12,1,59933
South,Ooty,Trekking,13,1,15184
Central,Kanha National Park,Adventure,12,1,28378
North,Manali,Adventure,14,2,59984
West,Rann of Kutch,Religious,14,9,22920
Northeast,Tawang,Hidden Gem,3,1,5640
Northeast,Dzukou Valley,Hill Station,14,11,17018
South,Coorg,Urban/City,2,10,22843
East,Konark,Urban/City,5,8,49006
Central,Khajuraho,Trekking,14,9,41808
East,Guwahati,Hidden Gem,15,3,42110
East,Sundarbans,Hill Station,5,10,5415
West,Dwarka,Adventure,15,12,39742
Central,Bandhavgarh,Adventure,7,8,11951
Central,Bhopal,Hill Station,5,7,39086
North,Nainital,Wildlife,15,11,58643
Northeast,Tawang,Hill Station,8,11,21331
South,Ooty,Hill Station,10,9,11483
Central,Bandhavgarh,Religious,13,11,58337
South,Hampi,Wildlife,2,12,20791
Northeast,Dzukou Valley,Hidden Gem,5,9,18923
North,Manali,Beach,6,11,4020
East,Puri,Hill Station,9,3,4482
Central,Bandhavgarh,Historical,15,2,6188
South,Coorg,Religious,10,10,12427
North,Dalhousie,Hidden Gem,10,8,54003
West,Mumbai,Hidden Gem,11,8,15785
South,Mysore,Adventure,8,7,16345
West,Udaipur,Wildlife,9,6,16837
South,Kochi,Urban/City,13,4,41687
West,Dwarka,Wildlife,13,11,27561
East,Sundarbans,Trekking,4,7,52283
South,Ooty,Desert,4,10,35649
South,Kochi,Desert,6,9,31891
West,Mumbai,Historical,5,9,38013
Central,Sanchi,Hill Station,3,11,42674
Northeast,Cherrapunji,Religious,11,6,38159
South,Mysore,Historical,15,11,7665
West,Gir National Park,Historical,2,12,3035
West,Udaipur,Hill Station,7,11,48953
South,Kodaikanal,Historical,3,10,54977
Northeast,Shillong Peak,Hidden Gem,15,10,22624
East,Darjeeling,Religious,9,5,41460
West,Ahmedabad,Urban/City,2,8,28064
Northeast,Dzukou Valley,Urban/City,15,2,7650
Central,Khajuraho,Religious,12,8,36362
North,Varanasi,Hidden Gem,9,11,33167
Northeast,Dzukou Valley,Historical,11,12,17920
South,Ooty,Religious,7,6,16917
Central,Gwalior,Wildlife,9,7,23779
West,Somnath,Religious,2,1,11160
North,Nainital,Wildlife,13,2,35603
South,Kodaikanal,Trekking,2,10,36697
Central,Khajuraho,Wildlife,9,10,21500
Central,Khajuraho,Hill Station,10,12,25389
West,Dwarka,Wildlife,11,5,55934
Central,Gwalior,Desert,11,12,22557
North,Nainital,Urban/City,11,9,53804
North,Nainital,Wildlife,5,9,49748
South,Kochi,Beach,5,2,22129
North,Jaipur,Religious,15,4,12623
South,Kodaikanal,Beach,14,2,59879
West,Somnath,Wildlife,5,7,32936
Northeast,Aizawl,Hill Station,9,11,29405
West,Somnath,Religious,10,8,35081
South,Munnar,Historical,8,3,5069
Central,Kanha National Park,Wildlife,15,11,32947
Northeast,Majuli,Religious,4,11,9072
East,Sundarbans,Hill Station,11,5,53660
Central,Pachmarhi,Adventure,2,12,49133
North,Manali,Hidden Gem,4,10,50827
Northeast,Tawang,Trekking,3,7,19558
Central,Pachmarhi,Urban/City,7,8,50314
North,Kullu,Trekking,9,6,10948
South,Mysore,Hill Station,10,8,14470
North,Nainital,Adventure,8,3,22613
Central,Khajuraho,Trekking,2,4,42850
West,Udaipur,Adventure,13,2,45855
Northeast,Ziro Valley,Historical,4,2,13192
South,Alleppey,Hidden Gem,12,10,48031
South,Alleppey,Beach,6,7,17387
East,Bodh Gaya,Historical,3,7,17602
Northeast,Aizawl,Beach,13,11,22347
Northeast,Kaziranga,Beach,8,12,22114
Northeast,Dzukou Valley,Hidden Gem,13,7,36640
West,Gir National Park,Trekking,9,9,22359
Northeast,Shillong Peak,Trekking,2,4,9382
West,Gir National Park,Urban/City,4,10,26884
Northeast,Shillong Peak,Urban/City,4,1,24474
Central,Sanchi,Historical,7,9,59757
East,Sundarbans,Hill Station,4,4,25636
South,Hampi,Trekking,13,6,3067
Central,Pachmarhi,Urban/City,10,4,43807
South,Hampi,Wildlife,3,5,59858
South,Kochi,Hill Station,14,9,6313
South,Hampi,Religious,7,8,5539
Northeast,Cherrapunji,Hidden Gem,10,9,14361
South,Coorg,Urban/City,10,2,6308
South,Munnar,Beach,15,7,19741
West,Ahmedabad,Historical,4,5,54664
North,Manali,Desert,8,1,24932
Central,Khajuraho,Hidden Gem,15,6,16152
East,Bodh Gaya,Beach,4,6,59206
Northeast,Cherrapunji,Urban/City,12,3,34651
East,Bodh Gaya,Desert,12,4,50282
East,Konark,Hidden Gem,5,4,16436
Central,Pachmarhi,Beach,4,6,16824
South,Pondicherry,Hidden Gem,4,9,56749
North,Rishikesh,Adventure,14,2,46054
East,Gangtok,Hidden Gem,7,3,51684
West,Udaipur,Religious,4,5,8294
West,Mount Abu,Beach,12,10,53930
Central,Bandhavgarh,Urban/City,7,2,27716
South,Alleppey,Urban/City,8,3,26161
Central,Gwalior,Urban/City,12,12,6471
South,Munnar,Beach,8,5,3973
West,Ahmedabad,Desert,11,5,36812
South,Alleppey,Wildlife,6,11,5723
Central,Kanha National Park,Adventure,2,4,48761
South,Kochi,Hidden Gem,13,4,51592
West,Mumbai,Hidden Gem,14,8,31480
South,Alleppey,Urban/City,5,10,8362
Northeast,Tawang,Hidden Gem,14,5,48001
North,Varanasi,Beach,15,5,55610
Central,Bhopal,Urban/City,3,11,16246
East,Puri,Desert,3,7,33197
South,Hampi,Urban/City,15,5,33842
East,Darjeeling,Desert,5,6,56858
North,Dalhousie,Hill Station,2,1,55548
North,Jaipur,Wildlife,11,7,51162
North,Shimla,Wildlife,2,9,20202
North,Dalhousie,Historical,12,11,59370
North,Rishikesh,Trekking,4,8,11711
Central,Sanchi,Religious,12,9,55436
North,Nainital,Desert,8,4,57224
Northeast,Imphal,Adventure,8,2,17091
West,Mumbai,Urban/City,15,1,58481
East,Guwahati,Beach,7,10,46221
Northeast,Shillong Peak,Urban/City,5,2,35459
Northeast,Majuli,Wildlife,12,6,22218
Northeast,Aizawl,Historical,3,10,34951
West,Gir National Park,Hidden Gem,15,6,46026
West,Udaipur,Hidden Gem,3,2,5162
North,Varanasi,Wildlife,14,12,39020
West,Gir National Park,Desert,2,9,8663
South,Mysore,Beach,12,7,52668
Central,Pachmarhi,Wildlife,12,4,13702
North,Kullu,Hill Station,7,2,11851
East,Bodh Gaya,Religious,9,12,37631
East,Sundarbans,Wildlife,15,2,29129
West,Rann of Kutch,Historical,12,7,3151
East,Bodh Gaya,Adventure,2,8,15536
Central,Gwalior,Hill Station,7,5,54836
North,Manali,Historical,2,9,34346
West,Mumbai,Historical,6,2,4729
Northeast,Ziro Valley,Beach,2,5,17753
North,Rishikesh,Adventure,4,4,54291
Northeast,Imphal,Wildlife,14,7,51289
Central,Indore,Trekking,13,1,42743
North,Nainital,Adventure,9,12,49168
South,Kochi,Hill Station,5,7,54296
West,Udaipur,Hill Station,5,2,53420
East,Puri,Historical,11,9,4862
East,Guwahati,Trekking,2,10,35873
South,Munnar,Trekking,4,7,56586
Central,Khajuraho,Trekking,3,11,56406
Northeast,Dzukou Valley,Desert,15,10,4436
East,Gangtok,Hill Station,15,3,12332
South,Mysore,Hidden Gem,3,5,42744
South,Goa,Wildlife,11,11,9269
West,Mount Abu,Urban/City,4,5,16567
East,Kolkata,Urban/City,14,12,50331
East,Gangtok,Historical,8,2,13717
West,Gir National Park,Trekking,6,1,29337
East,Shillong,Hill Station,7,9,55967
Central,Kanha National Park,Trekking,3,6,11649
North,Rishikesh,Wildlife,7,2,23275
South,Munnar,Religious,9,5,3357
South,Munnar,Hill Station,10,11,14976
West,Udaipur,Hidden Gem,7,5,54103
West,Mumbai,Urban/City,4,8,21617
South,Goa,Urban/City,4,12,25368
Northeast,Cherrapunji,Trekking,12,5,20144
Central,Indore,Desert,5,8,14413
West,Jaisalmer,Historical,7,7,13018
South,Alleppey,Hill Station,12,3,25828
Northeast,Majuli,Beach,13,4,50292
North,Kullu,Hill Station,3,5,21549
West,Gir National Park,Religious,11,3,35831
South,Hampi,Historical,9,10,42866
Northeast,Imphal,Religious,9,1,19473
North,Kullu,Adventure,2,7,29525
South,Mysore,Beach,3,3,56624
West,Gir National Park,Hidden Gem,3,12,23707
North,Manali,Desert,6,3,21893
South,Alleppey,Hidden Gem,6,6,18030
South,Alleppey,Wildlife,11,12,18904
North,Jaipur,Historical,9,5,57258
Central,Sanchi,Adventure,6,6,54248
Central,Indore,Wildlife,3,2,52434
West,Ahmedabad,Trekking,15,6,12685
Central,Bhopal,Wildlife,5,4,33860
Central,Khajuraho,Urban/City,4,11,52016
North,Nainital,Hill Station,7,8,41921
Central,Indore,Desert,8,4,34417
South,Kodaikanal,Hidden Gem,9,3,6503
Central,Bandhavgarh,Hidden Gem,11,10,32878
West,Rann of Kutch,Urban/City,6,9,39679
South,Mysore,Beach,4,4,14032
East,Bodh Gaya,Trekking,12,8,9586
South,Ooty,Adventure,9,1,27681
South,Pondicherry,Urban/City,6,11,26297
South,Alleppey,Hill Station,14,9,18493
East,Kolkata,Trekking,11,6,37491
South,Pondicherry,Wildlife,13,1,24288
West,Ahmedabad,Adventure,6,7,27967
East,Kolkata,Adventure,6,2,19044
Central,Bhopal,Wildlife,8,6,45104
North,Rishikesh,Historical,14,2,56262
Northeast,Shillong Peak,Desert,6,2,50240
South,Goa,Wildlife,7,9,13693
Central,Kanha National Park,Wildlife,8,11,40252
Northeast,Aizawl,Trekking,12,1,8036
Northeast,Tawang,Desert,8,8,51239
Central,Gwalior,Adventure,14,6,24156
West,Somnath,Trekking,6,5,10739
West,Somnath,Desert,6,10,56201
South,Ooty,Historical,3,11,20171
East,Bodh Gaya,Desert,10,2,12635
South,Kochi,Urban/City,10,6,56955
North,Manali,Hill Station,13,12,52827
South,Munnar,Historical,9,5,26589
North,Jaipur,Religious,7,11,23281
South,Hampi,Historical,3,11,33845
West,Jaisalmer,Desert,11,9,26218
West,Somnath,Wildlife,7,4,51610
South,Mysore,Historical,8,5,11045
North,Shimla,Hidden Gem,3,1,51369
South,Hampi,Hidden Gem,3,11,56647
Central,Bhopal,Trekking,9,4,45574
West,Dwarka,Religious,8,3,9769
North,Kullu,Beach,8,5,10891
West,Mumbai,Beach,6,3,46784
Northeast,Kaziranga,Hill Station,15,12,49611
South,Hampi,Adventure,2,6,45003
North,Rishikesh,Beach,6,3,33700
South,Alleppey,Urban/City,13,6,36786
East,Guwahati,Desert,7,5,13423
Central,Gwalior,Beach,7,5,19102
South,Pondicherry,Trekking,8,7,59911
Northeast,Tawang,Trekking,14,2,32919
East,Guwahati,Religious,15,3,36325
East,Sundarbans,Hidden Gem,10,4,10931
South,Kochi,Trekking,13,12,25709
South,Kochi,Wildlife,4,12,50330
North,Leh,Trekking,3,8,48427
Northeast,Tawang,Urban/City,5,3,37551
West,Somnath,Trekking,7,1,7574
South,Kochi,Desert,10,10,15334
East,Shillong,Beach,7,2,45012
West,Jaisalmer,Adventure,9,3,10178
North,Rishikesh,Hidden Gem,11,7,59416
North,Jaipur,Hill Station,12,1,45967
South,Mysore,Urban/City,3,10,56915
South,Kochi,Beach,2,6,34188
Northeast,Aizawl,Desert,3,2,6323
South,Mysore,Desert,3,4,54621
Central,Bandhavgarh,Urban/City,2,3,56941
Northeast,Aizawl,Wildlife,11,2,19145
West,Dwarka,Religious,5,10,58754
East,Sundarbans,Desert,12,7,45335
Central,Sanchi,Urban/City,3,5,36624
South,Mysore,Hill Station,7,6,55487
East,Konark,Religious,8,7,17974
West,Gir National Park,Religious,15,1,12987
North,Rishikesh,Adventure,10,1,30354
Northeast,Aizawl,Religious,14,6,17703
South,Pondicherry,Adventure,10,5,44842
Northeast,Dzukou Valley,Urban/City,2,6,7936
South,Goa,Trekking,2,7,34851
Northeast,Dzukou Valley,Urban/City,2,7,48443
Central,Kanha National Park,Wildlife,11,11,51652
West,Dwarka,Hill Station,5,8,27444
Central,Khajuraho,Religious,6,4,22005
North,Agra,Historical,7,11,43141
Central,Kanha National Park,Historical,12,4,46306
South,Coorg,Adventure,13,8,4155
South,Hampi,Hidden Gem,12,9,19804
Northeast,Shillong Peak,Hidden Gem,4,3,7926
East,Darjeeling,Religious,14,11,33251
South,Kodaikanal,Trekking,10,10,9733
South,Alleppey,Trekking,9,2,38189
East,Bodh Gaya,Hidden Gem,12,6,20831
East,Konark,Desert,9,10,41138
East,Kolkata,Hill Station,15,12,12715
Northeast,Dzukou Valley,Hill Station,12,1,41210
East,Puri,Hill Station,15,1,42175
South,Pondicherry,Desert,3,4,25819
East,Kolkata,Religious,15,7,16568
Northeast,Imphal,Urban/City,4,2,17510
North,Agra,Adventure,3,5,10866
Central,Bandhavgarh,Wildlife,6,10,7595
Northeast,Kaziranga,Desert,9,1,32438
Northeast,Majuli,Beach,7,5,5815
South,Alleppey,Wildlife,4,12,10698
Central,Indore,Desert,4,5,42223
West,Rann of Kutch,Historical,12,10,38442
South,Pondicherry,Desert,13,11,6424
North,Kullu,Historical,14,1,41934
Central,Sanchi,Historical,14,5,54694
East,Darjeeling,Urban/City,12,4,52300
South,Alleppey,Adventure,8,1,9115
East,Kolkata,Religious,14,11,33702
West,Udaipur,Hill Station,4,4,58122
North,Leh,Hidden Gem,10,1,16620
North,Agra,Religious,6,2,41703
East,Shillong,Historical,9,12,31013
West,Mount Abu,Adventure,10,7,54116
North,Rishikesh,Hill Station,11,2,11891
North,Jaipur,Trekking,9,11,49896
South,Munnar,Hidden Gem,4,1,5315
South,Munnar,Urban/City,7,7,9992
East,Kolkata,Historical,10,8,40498
Northeast,Tawang,Trekking,6,11,30288
Central,Pachmarhi,Wildlife,12,2,12516
East,Gangtok,Desert,2,11,46265
North,Manali,Desert,7,2,19079
Northeast,Shillong Peak,Religious,13,9,5869
Northeast,Imphal,Beach,9,1,22126
North,Kullu,Religious,7,8,55358
Central,Pachmarhi,Trekking,9,5,12129
East,Kolkata,Wildlife,10,6,41875
Northeast,Dzukou Valley,Hill Station,9,5,48503
North,Jaipur,Hill Station,12,6,3654
West,Ahmedabad,Urban/City,9,3,21733
Northeast,Tawang,Beach,3,5,44653
North,Varanasi,Urban/City,15,4,20737
East,Darjeeling,Religious,4,6,16565
South,Munnar,Hidden Gem,4,11,54481
East,Bodh Gaya,Trekking,10,7,18386
West,Ahmedabad,Trekking,11,3,53414
West,Somnath,Urban/City,2,2,16155
West,Mount Abu,Desert,8,3,30063
East,Bodh Gaya,Adventure,7,7,34467
North,Varanasi,Historical,13,12,22790
Central,Sanchi,Hidden Gem,6,8,31619
East,Bodh Gaya,Religious,12,9,28816
Northeast,Imphal,Hill Station,14,2,26844
South,Goa,Beach,11,12,14064
Central,Kanha National Park,Wildlife,14,10,24647
Central,Sanchi,Wildlife,14,7,8240
West,Mumbai,Desert,3,4,34875
East,Gangtok,Desert,10,3,33894
Central,Sanchi,Beach,2,7,55952
Northeast,Cherrapunji,Wildlife,4,8,38053
Northeast,Kaziranga,Desert,11,6,31399
East,Kolkata,Historical,2,5,25452
North,Jaipur,Wildlife,6,9,13242
Central,Indore,Desert,8,3,5478
North,Nainital,Urban/City,7,4,59535
South,Pondicherry,Adventure,11,2,18831
North,Leh,Religious,3,6,4604
Central,Pachmarhi,Adventure,3,11,47510
West,Dwarka,Historical,10,9,9956
West,Rann of Kutch,Adventure,8,1,36525
South,Coorg,Desert,14,9,57741
West,Somnath,Urban/City,12,7,27485
South,Munnar,Trekking,15,5,55537
Central,Sanchi,Desert,5,2,41267
Northeast,Ziro Valley,Historical,12,6,41402
South,Kodaikanal,Religious,11,1,7128
West,Rann of Kutch,Hidden Gem,8,4,23152
South,Pondicherry,Trekking,10,2,47012
Central,Bandhavgarh,Hill Station,15,8,4513
North,Agra,Wildlife,3,4,34861
West,Rann of Kutch,Desert,9,1,42068
South,Coorg,Adventure,14,11,23796
East,Konark,Beach,5,7,43643
South,Goa,Hidden Gem,10,12,25777
East,Sundarbans,Wildlife,3,4,26331
Central,Kanha National Park,Religious,11,6,35903
Northeast,Majuli,Desert,14,2,57482
West,Gir National Park,Adventure,4,3,20439
Central,Indore,Historical,4,5,9600
North,Varanasi,Hill Station,5,11,35165
East,Gangtok,Religious,15,9,51054
Northeast,Shillong Peak,Religious,15,11,11296
East,Puri,Urban/City,6,12,45151
North,Shimla,Trekking,12,9,40742
South,Coorg,Wildlife,8,4,30525
West,Mount Abu,Trekking,5,5,38374
Central,Khajuraho,Wildlife,10,8,20395
South,Goa,Hidden Gem,4,1,38863
North,Rishikesh,Wildlife,13,9,31015
South,Kochi,Historical,5,9,17329
Northeast,Cherrapunji,Hill Station,9,1,41020
East,Gangtok,Urban/City,13,3,33291
North,Varanasi,Hidden Gem,11,6,27320
Northeast,Dzukou Valley,Religious,9,7,58562
North,Dalhousie,Hill Station,14,6,23406
South,Coorg,Religious,6,3,44453
West,Somnath,Adventure,12,7,49472
Northeast,Dzukou Valley,Desert,15,12,40248
West,Mount Abu,Hill Station,7,11,26070
North,Rishikesh,Adventure,13,4,50335
North,Agra,Beach,13,10,59878
Central,Bandhavgarh,Wildlife,9,3,39441
Northeast,Shillong Peak,Wildlife,12,3,46973
East,Kolkata,Desert,8,9,49531
North,Rishikesh,Beach,14,11,23460
East,Shillong,Beach,11,1,6383
North,Nainital,Adventure,12,5,56817
East,Bodh Gaya,Hill Station,4,2,45218
East,Puri,Religious,11,10,19648
North,Nainital,Religious,3,3,13450
North,Dalhousie,Religious,6,12,11961
West,Ahmedabad,Hidden Gem,9,1,33188
South,Pondicherry,Trekking,11,8,20533
West,Ahmedabad,Hill Station,7,2,27532
Central,Khajuraho,Historical,13,6,50198
Northeast,Aizawl,Hill Station,9,11,45782
Central,Gwalior,Desert,15,3,41972
West,Dwarka,Urban/City,8,5,17631
West,Dwarka,Urban/City,9,5,7951
West,Somnath,Wildlife,3,6,51095
South,Goa,Desert,11,7,27676
North,Manali,Trekking,15,9,48334
North,Kullu,Desert,2,9,39778
North,Dalhousie,Hidden Gem,14,9,8467
North,Jaipur,Desert,10,4,19575
Northeast,Imphal,Hill Station,10,9,12412
North,Varanasi,Hidden Gem,10,2,55019
West,Rann of Kutch,Hill Station,7,1,50155
Northeast,Tawang,Hill Station,9,7,20996
North,Leh,Hill Station,15,10,23711
West,Ahmedabad,Hill Station,9,7,13753
North,Jaipur,Hidden Gem,6,3,39133
West,Rann of Kutch,Adventure,8,1,39492
East,Guwahati,Trekking,14,8,51162
Central,Indore,Adventure,8,5,8226
North,Shimla,Wildlife,9,9,29825
Central,Indore,Hill Station,5,3,31450
Northeast,Majuli,Historical,9,8,10232
East,Darjeeling,Hill Station,7,5,28440
South,Coorg,Historical,3,4,9350
Central,Gwalior,Wildlife,10,12,20546
Northeast,Tawang,Beach,2,7,15968
North,Agra,Adventure,15,8,19627
South,Hampi,Adventure,2,3,48767
East,Shillong,Urban/City,10,5,33378
West,Dwarka,Hidden Gem,10,8,57419
West,Mumbai,Urban/City,6,8,54156
Northeast,Shillong Peak,Historical,12,1,16325
East,Puri,Beach,6,6,22177
North,Nainital,Religious,7,9,47069
Northeast,Shillong Peak,Historical,13,11,48459
North,Rishikesh,Desert,12,9,10672
Northeast,Kaziranga,Urban/City,6,6,7429
Northeast,Cherrapunji,Religious,8,1,46813
South,Pondicherry,Hidden Gem,15,4,6079
North,Varanasi,Urban/City,3,2,59880
West,Gir National Park,Beach,15,8,42280
North,Shimla,Wildlife,13,11,18938
West,Somnath,Beach,13,3,24424
North,Shimla,Hidden Gem,7,11,55660
East,Konark,Trekking,11,4,53098
West,Gir National Park,Trekking,6,10,54645
North,Manali,Trekking,13,1,16449
West,Mount Abu,Adventure,8,3,52705
East,Konark,Urban/City,12,1,59280
West,Ahmedabad,Adventure,12,9,40995
Northeast,Shillong Peak,Desert,13,2,6624
East,Konark,Religious,4,3,47935
West,Udaipur,Religious,4,1,17223
East,Puri,Trekking,4,8,47749
South,Coorg,Religious,15,6,25038
Northeast,Aizawl,Hidden Gem,12,7,3456
East,Shillong,Hidden Gem,5,9,52688
North,Manali,Wildlife,10,10,13630
West,Ahmedabad,Beach,4,11,33987
Northeast,Dzukou Valley,Hill Station,6,10,16071
East,Puri,Adventure,3,6,59022
Central,Bandhavgarh,Trekking,2,11,34259
Northeast,Tawang,Trekking,4,8,27500
West,Jaisalmer,Trekking,8,2,42403
Central,Khajuraho,Beach,9,7,28831
South,Ooty,Urban/City,14,10,12248
Central,Bhopal,Historical,9,10,50948
North,Agra,Wildlife,3,11,50612
South,Alleppey,Wildlife,5,10,28435
Northeast,Kaziranga,Urban/City,15,6,3391
West,Mount Abu,Religious,9,10,33650
Northeast,Tawang,Hidden Gem,11,4,38475
West,Rann of Kutch,Urban/City,12,8,59459
South,Kodaikanal,Trekking,10,7,26716
Central,Gwalior,Urban/City,9,10,55172
North,Leh,Historical,15,7,57319
North,Dalhousie,Religious,6,10,9506
South,Hampi,Trekking,4,4,3038
Central,Pachmarhi,Hill Station,11,9,45900
East,Kolkata,Hill Station,11,2,16577
West,Mumbai,Adventure,2,8,23582
Northeast,Imphal,Adventure,7,4,19781
Northeast,Shillong Peak,Hill Station,7,4,31272
Central,Pachmarhi,Wildlife,14,11,4322
South,Kodaikanal,Desert,5,11,47138
North,Shimla,Hidden Gem,6,12,33529
Northeast,Cherrapunji,Historical,14,5,20801
Central,Bhopal,Religious,3,11,16266
Northeast,Dzukou Valley,Religious,8,7,43494
South,Pondicherry,Wildlife,14,2,10100
East,Kolkata,Trekking,3,10,22537
North,Rishikesh,Hill Station,2,3,10185
North,Manali,Historical,11,5,11922
Central,Kanha National Park,Adventure,9,7,8682
South,Ooty,Wildlife,2,7,37932
North,Varanasi,Hill Station,11,5,59485
North,Agra,Adventure,15,5,33240
South,Hampi,Urban/City,6,7,13950
Northeast,Dzukou Valley,Urban/City,3,11,46532
Central,Bandhavgarh,Hidden Gem,9,2,41266
East,Sundarbans,Wildlife,13,2,43057
Central,Sanchi,Hill Station,6,1,22805
Northeast,Ziro Valley,Wildlife,4,2,53762
West,Somnath,Wildlife,12,7,22435
Northeast,Shillong Peak,Wildlife,14,7,56800
Central,Gwalior,Desert,11,9,49346
Central,Khajuraho,Religious,11,9,36679
South,Coorg,Hidden Gem,5,11,33811
East,Darjeeling,Adventure,3,11,53933
South,Kochi,Hill Station,12,12,10101
Northeast,Imphal,Adventure,11,11,29542
East,Shillong,Historical,6,2,39017
West,Jaisalmer,Hidden Gem,14,6,59740
Central,Bhopal,Historical,2,2,20409
North,Jaipur,Desert,10,5,55819
West,Rann of Kutch,Urban/City,15,8,11492
West,Mount Abu,Hill Station,9,3,4565
North,Varanasi,Adventure,9,12,45414
South,Kodaikanal,Adventure,9,5,4770
Central,Pachmarhi,Desert,11,3,7492
East,Puri,Trekking,8,2,11212
Northeast,Shillong Peak,Religious,3,2,21666
North,Rishikesh,Trekking,14,3,49338
East,Guwahati,Trekking,12,2,51220
East,Konark,Desert,4,2,34108
Central,Sanchi,Beach,3,5,43013
South,Alleppey,Hill Station,7,5,52221
South,Mysore,Religious,8,5,55718
North,Agra,Adventure,3,4,41761
North,Jaipur,Hidden Gem,10,5,22460
Northeast,Imphal,Wildlife,4,7,32069
Central,Sanchi,Wildlife,14,12,37716
East,Guwahati,Adventure,2,11,15495
South,Ooty,Hidden Gem,12,12,51189
Central,Bhopal,Desert,3,4,29176
Northeast,Shillong Peak,Hill Station,8,9,31881
Northeast,Imphal,Religious,4,6,8622
South,Pondicherry,Wildlife,6,3,29929
East,Darjeeling,Desert,12,3,5376
North,Dalhousie,Trekking,7,5,16139
North,Dalhousie,Urban/City,4,9,34857
Central,Sanchi,Urban/City,5,9,47606
East,Darjeeling,Historical,10,6,19027
Northeast,Shillong Peak,Beach,15,11,44388
East,Kolkata,Religious,12,2,59068
West,Ahmedabad,Trekking,5,10,55911
Central,Kanha National Park,Trekking,12,9,58862
Northeast,Ziro Valley,Hill Station,2,6,18788
South,Kodaikanal,Trekking,6,3,28724
South,Hampi,Beach,15,6,32501
Northeast,Tawang,Desert,12,7,55931
Northeast,Cherrapunji,Urban/City,6,1,23953
North,Manali,Religious,9,6,3364
North,Kullu,Religious,2,5,32244
East,Bodh Gaya,Hill Station,8,6,56970
North,Manali,Wildlife,4,3,11363
West,Rann of Kutch,Hidden Gem,5,6,34134
West,Mumbai,Desert,13,12,38757
Northeast,Aizawl,Beach,7,3,10337
South,Kodaikanal,Adventure,14,10,27647
West,Dwarka,Adventure,9,1,5563
West,Ahmedabad,Hidden Gem,12,3,11007
South,Goa,Beach,12,12,15789
South,Coorg,Beach,5,12,20730
West,Ahmedabad,Trekking,14,10,44963
Central,Gwalior,Adventure,15,2,42082
Northeast,Ziro Valley,Desert,8,8,54770
South,Ooty,Hill Station,2,5,26154
Central,Sanchi,Hill Station,13,5,51865
West,Mumbai,Beach,6,1,37176
North,Kullu,Beach,13,5,38509
Central,Indore,Urban/City,5,12,21633
Northeast,Aizawl,Historical,7,6,8813
